"AGE_RANGE_PERFORMANCE_REPORT (Apr 1, 2016-Jul 1, 2016)"
Day,Campaign ID,Campaign,Age Range,Impressions,Clicks,Conversions,Cost
2016-04-04,390878914,TNT GDN,25-34,7210,1,0.0,10671470
2016-04-05,390878914,TNT GDN,Undetermined,113562,26,0.0,167840900
2016-04-01,390878914,TNT GDN,25-34,35154,4,0.0,62773530
2016-04-05,390878914,TNT GDN,18-24,7252,4,0.0,7212190
2016-04-16,390878914,TNT GDN,45-54,1490,0,0.0,1870460
2016-04-02,390878914,TNT GDN,25-34,58782,7,0.0,106941090
2016-04-02,390878914,TNT GDN,35-44,3756,1,0.0,6182170
2016-04-18,390878914,TNT GDN,18-24,3645,1,0.0,3985740
2016-04-17,390878914,TNT GDN,Undetermined,108098,37,0.0,154660150
2016-04-14,390878914,TNT GDN,25-34,5612,2,0.0,7189230
2016-04-10,390878914,TNT GDN,25-34,7777,1,0.0,15022400
2016-04-07,390878914,TNT GDN,18-24,13024,2,0.0,17865060
2016-04-06,390878914,TNT GDN,Undetermined,114440,26,0.0,164296970
2016-04-07,390878914,TNT GDN,35-44,7366,2,0.0,13978370
2016-04-16,390878914,TNT GDN,35-44,2689,1,0.0,3238600
2016-04-15,390878914,TNT GDN,25-34,66558,11,0.0,104295980
2016-04-04,390878914,TNT GDN,Undetermined,105249,17,0.0,162699860
2016-04-11,390878914,TNT GDN,25-34,62916,3,0.0,114596360
2016-04-16,390878914,TNT GDN,25-34,4750,0,0.0,5436660
2016-04-06,390878914,TNT GDN,35-44,2677,1,0.0,4697710
2016-04-18,390878914,TNT GDN,25-34,77884,9,0.0,136131000
2016-04-03,390878914,TNT GDN,45-54,1306,0,0.0,1851750
2016-04-13,390878914,TNT GDN,25-34,71140,11,0.0,113453360
2016-04-14,390878914,TNT GDN,45-54,1297,0,0.0,1770280
2016-04-11,394914754,Hindware Rimless video promotion,18-24,798,1,0.0,275250000
2016-04-05,390878914,TNT GDN,25-34,7075,0,0.0,10101040
2016-04-02,390878914,TNT GDN,25-34,9036,0,0.0,15162790
2016-04-08,390878914,TNT GDN,25-34,33629,4,0.0,59091950
2016-04-07,390878914,TNT GDN,Undetermined,84045,19,0.0,128263350
2016-04-09,390878914,TNT GDN,18-24,17943,6,0.0,29425380
2016-04-18,390878914,TNT GDN,Undetermined,85589,19,0.0,134915190
2016-04-06,390878914,TNT GDN,25-34,6382,2,0.0,10809100
2016-04-15,390878914,TNT GDN,Undetermined,102184,25,0.0,148159830
2016-04-19,390878914,TNT GDN,18-24,9,0,0.0,11320
2016-04-10,390878914,TNT GDN,18-24,6619,1,0.0,10251330
2016-04-11,390878914,TNT GDN,35-44,3223,0,0.0,6574830
2016-04-11,390878914,TNT GDN,45-54,1894,0,0.0,3770690
2016-04-19,390878914,TNT GDN,45-54,1,0,0.0,1860
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),35-44,7100,14,0.0,2705450000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),25-34,16713,16,0.0,6083050000
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),25-34,11827,21,0.0,4280990000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),55-64,2402,6,0.0,781930000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),35-44,5857,9,0.0,1914100000
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),55-64,2706,7,0.0,804070000
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),18-24,12277,22,0.0,4585360000
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),55-64,1918,4,0.0,573780000
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),25-34,8882,12,0.0,3297520000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),18-24,14606,20,0.0,5682440000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),25-34,11953,13,0.0,4483160000
2016-04-13,394914754,Hindware Rimless video promotion,35-44,165,1,0.0,62940000
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),35-44,7036,14,0.0,2269770000
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),35-44,4929,11,0.0,1692250000
2016-04-04,390878914,TNT GDN,55-64,7682,1,0.0,14032290
2016-04-05,390878914,TNT GDN,65 or more,7255,1,0.0,11803660
2016-04-07,390878914,TNT GDN,55-64,5888,1,0.0,10163070
2016-04-16,390878914,TNT GDN,65 or more,4658,0,0.0,7619070
2016-04-13,390878914,TNT GDN,65 or more,6820,2,0.0,10859680
2016-04-16,390878914,TNT GDN,45-54,15353,0,0.0,28879640
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),55-64,2107,2,0.0,734890000
2016-04-15,390878914,TNT GDN,45-54,14788,1,0.0,23786420
2016-04-04,390878914,TNT GDN,45-54,16967,0,0.0,29737060
2016-04-09,390878914,TNT GDN,45-54,7425,1,0.0,13503510
2016-04-02,390878914,TNT GDN,55-64,1135,1,0.0,1929580
2016-04-05,390878914,TNT GDN,Undetermined,11398,3,0.0,15490280
2016-04-16,390878914,TNT GDN,Undetermined,6479,1,0.0,8338370
2016-04-12,394914754,Hindware Rimless video promotion,35-44,5451,12,0.0,1856390000
2016-04-15,390878914,TNT GDN,55-64,9999,2,0.0,16082520
2016-04-02,390878914,TNT GDN,65 or more,5142,0,0.0,8436560
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),55-64,2285,3,0.0,832450000
2016-04-18,390878914,TNT GDN,Undetermined,5497,0,0.0,7016070
2016-04-17,390878914,TNT GDN,35-44,28250,5,0.0,45082180
2016-04-17,390878914,TNT GDN,65 or more,6365,1,0.0,9645810
2016-04-02,390878914,TNT GDN,45-54,11861,0,0.0,23670080
2016-04-15,390878914,TNT GDN,35-44,27519,3,0.0,45724110
2016-04-17,390878914,TNT GDN,Undetermined,5615,4,0.0,5700690
2016-04-09,390878914,TNT GDN,Undetermined,46730,10,0.0,83598330
2016-04-05,390878914,TNT GDN,55-64,8617,1,0.0,14845770
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),18-24,11979,13,0.0,4633280000
2016-04-11,390878914,TNT GDN,55-64,811,1,0.0,1685130
2016-04-02,390878914,TNT GDN,Undetermined,11449,1,0.0,17894020
2016-04-13,390878914,TNT GDN,35-44,27454,2,0.0,45715580
2016-04-02,390878914,TNT GDN,55-64,6777,0,0.0,13098240
2016-04-16,390878914,TNT GDN,55-64,1033,0,0.0,1428460
2016-04-04,390878914,TNT GDN,Undetermined,8474,1,0.0,12909000
2016-04-05,390878914,TNT GDN,55-64,847,0,0.0,1285430
2016-04-15,390878914,TNT GDN,55-64,1475,0,0.0,1948610
2016-04-08,390878914,TNT GDN,65 or more,3090,1,0.0,5463630
2016-04-06,390878914,TNT GDN,55-64,7834,1,0.0,13061990
2016-04-07,390878914,TNT GDN,Undetermined,39131,6,0.0,64247410
2016-04-11,394914754,Hindware Rimless video promotion,35-44,349,0,0.0,187550000
2016-04-01,390878914,TNT GDN,65 or more,2972,0,0.0,5228140
2016-04-09,390878914,TNT GDN,35-44,15159,3,0.0,28271780
2016-04-11,390878914,TNT GDN,55-64,5920,1,0.0,11139880
2016-04-17,390878914,TNT GDN,45-54,14517,0,0.0,23926560
2016-04-12,390878914,TNT GDN,35-44,27623,2,0.0,46417190
2016-04-08,390878914,TNT GDN,55-64,3518,1,0.0,6171160
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),18-24,12079,19,0.0,4368400000
2016-04-06,390878914,TNT GDN,45-54,15419,3,0.0,24191370
2016-04-10,390878914,TNT GDN,45-54,9788,2,0.0,18820290
2016-04-13,390878914,TNT GDN,55-64,9263,0,0.0,15838530
2016-04-13,390878914,TNT GDN,55-64,1698,0,0.0,2204910
2016-04-10,390878914,TNT GDN,Undetermined,13743,3,0.0,22772560
2016-04-07,390878914,TNT GDN,35-44,21080,3,0.0,36358350
2016-04-14,390878914,TNT GDN,35-44,26765,4,0.0,45328500
2016-04-06,390878914,TNT GDN,35-44,32927,7,0.0,53161740
2016-04-16,390878914,TNT GDN,55-64,10305,4,0.0,19314210
2016-04-17,390878914,TNT GDN,55-64,10480,2,0.0,16448460
2016-04-11,394914754,Hindware Rimless video promotion,45-54,201,0,0.0,85450000
2016-04-05,390878914,TNT GDN,45-54,17750,2,0.0,29746380
2016-04-08,390878914,TNT GDN,35-44,13989,3,0.0,25433530
2016-04-03,390878914,TNT GDN,55-64,739,0,0.0,1127860
2016-04-14,390878914,TNT GDN,45-54,12921,6,0.0,22349200
2016-04-10,390878914,TNT GDN,65 or more,4223,1,0.0,7877540
2016-04-03,390878914,TNT GDN,55-64,7340,1,0.0,12085460
2016-04-03,390878914,TNT GDN,Undetermined,8750,3,0.0,11435060
2016-04-10,390878914,TNT GDN,35-44,20462,4,0.0,38115050
2016-04-14,390878914,TNT GDN,Undetermined,7348,1,0.0,7792480
2016-04-18,390878914,TNT GDN,55-64,1194,1,0.0,1697460
2016-04-12,390878914,TNT GDN,55-64,8003,2,0.0,13910210
2016-04-19,390878914,TNT GDN,35-44,89,0,0.0,159510
2016-04-19,390878914,TNT GDN,65 or more,17,0,0.0,33480
2016-04-04,390878914,TNT GDN,35-44,32834,3,0.0,55995530
2016-04-08,390878914,TNT GDN,55-64,4293,1,0.0,9529220
2016-04-19,390878914,TNT GDN,55-64,35,0,0.0,58620
2016-04-04,390878914,TNT GDN,65 or more,7266,0,0.0,11942250
2016-04-03,390878914,TNT GDN,35-44,25956,2,0.0,41375520
2016-04-16,390878914,TNT GDN,35-44,27485,5,0.0,49880500
2016-04-12,390878914,TNT GDN,55-64,1493,1,0.0,2448010
2016-04-09,390878914,TNT GDN,65 or more,3211,0,0.0,5630190
2016-04-02,390878914,TNT GDN,35-44,23747,1,0.0,43936960
2016-04-18,390878914,TNT GDN,45-54,16126,1,0.0,29826100
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),25-34,12837,14,0.0,4372420000
2016-04-09,390878914,TNT GDN,55-64,2657,1,0.0,5918940
2016-04-12,390878914,TNT GDN,45-54,13914,0,0.0,23604910
2016-04-19,390878914,TNT GDN,55-64,3,0,0.0,3330
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),35-44,6449,12,0.0,2353920000
2016-04-01,390878914,TNT GDN,35-44,14681,2,0.0,27910770
2016-04-03,390878914,TNT GDN,65 or more,7631,0,0.0,11918030
2016-04-18,390878914,TNT GDN,55-64,11358,4,0.0,21146950
2016-04-17,390878914,TNT GDN,55-64,689,0,0.0,763990
2016-04-10,390878914,TNT GDN,55-64,5642,0,0.0,10848180
2016-04-13,394914754,Hindware Rimless video promotion,45-54,43,0,0.0,10650000
2016-04-14,390878914,TNT GDN,55-64,8546,2,0.0,14378710
2016-04-11,390878914,TNT GDN,45-54,13800,5,0.0,26292540
2016-04-01,390878914,TNT GDN,55-64,2893,1,0.0,5979500
2016-04-06,390878914,TNT GDN,65 or more,6041,0,0.0,9034910
2016-04-13,390878914,TNT GDN,Undetermined,11351,0,0.0,15163440
2016-04-12,394914754,Hindware Rimless video promotion,45-54,2584,3,0.0,926760000
2016-04-04,390878914,TNT GDN,55-64,862,0,0.0,1333180
2016-04-05,390878914,TNT GDN,35-44,33117,7,0.0,56140450
2016-04-10,390878914,TNT GDN,55-64,858,0,0.0,1802170
2016-04-11,390878914,TNT GDN,65 or more,4837,0,0.0,8684560
2016-04-13,390878914,TNT GDN,45-54,13649,3,0.0,22795680
2016-04-14,390878914,TNT GDN,55-64,916,0,0.0,1193990
2016-04-14,390878914,TNT GDN,65 or more,6686,1,0.0,10656980
2016-04-09,390878914,TNT GDN,55-64,4692,0,0.0,9413050
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),18-24,15270,16,0.0,5257250000
2016-04-01,390878914,TNT GDN,Undetermined,33569,7,0.0,59125240
2016-04-11,390878914,TNT GDN,Undetermined,13820,1,0.0,22308730
2016-04-12,390878914,TNT GDN,Undetermined,14559,3,0.0,21697790
2016-04-08,390878914,TNT GDN,Undetermined,64499,11,0.0,103234010
2016-04-03,390878914,TNT GDN,45-54,12550,5,0.0,20713650
2016-04-01,390878914,TNT GDN,55-64,4682,0,0.0,8020550
2016-04-15,390878914,TNT GDN,Undetermined,8525,2,0.0,10572380
2016-04-07,390878914,TNT GDN,55-64,2681,0,0.0,5425080
2016-04-07,390878914,TNT GDN,65 or more,5146,2,0.0,8597850
2016-04-18,390878914,TNT GDN,35-44,31160,1,0.0,56932000
2016-04-06,390878914,TNT GDN,Undetermined,11502,0,0.0,16640590
2016-04-12,390878914,TNT GDN,65 or more,6203,0,0.0,10350690
2016-04-15,390878914,TNT GDN,65 or more,5260,0,0.0,8005950
2016-04-01,390878914,TNT GDN,45-54,8215,0,0.0,13606360
2016-04-19,390878914,TNT GDN,Undetermined,37,0,0.0,41650
2016-04-07,390878914,TNT GDN,45-54,10044,0,0.0,18221170
2016-04-11,390878914,TNT GDN,35-44,24521,2,0.0,45853700
2016-04-08,390878914,TNT GDN,45-54,6182,0,0.0,11670110
2016-04-19,390878914,TNT GDN,45-54,48,0,0.0,86540
2016-04-18,390878914,TNT GDN,65 or more,5867,0,0.0,10244510
2016-04-06,390878914,TNT GDN,55-64,713,0,0.0,1203810
Total, --, --, --,6203269,1685,0.0,120294668740
